Account Owner,Account Status,Account Name,Account ID,Website,Net Premiums Written,Assets Under Management,Annual Revenue,Number of Open Opportunities,#Employee,ICP Type,Billing Street,Billing City,Billing State/Province,Billing Zip/Postal Code,Phone,Billing Country,Last Activity,Account Plan URL,Type,Subcategory,Reason for Outreach,Industry
John,Check Associated Accounts,Crump Life Insurance Services,0011S00000e4a5d,https://crump.com/,,,,0,,Secondary,,,,,,United States,,,,,,
Patrick,Check Associated Accounts,QBE Insurance Group,0013700000JXzYH,www.qbe.com,,,15100000000,0,,Tertiary,Level 27 8 Chifley Square,Sydney,New South Wales,2000,#ERROR!,Australia,10.04.2019,,,,Non-USA ,
Patrick,Check Associated Accounts,W. R. Berkley Insurance Corporation,0013700000agkfX,,5594506000,,,0,,Primary,,Greenwich,Connecticut,,(312) 723-7200,United States,11.12.2018,https://finance.yahoo.com/quote/WRB/,,,,
Phil,Check Associated Accounts,Unum,00137000009wz5D,http://www.unum.com,,,10500000000,1,,Secondary,1 Fountain Square,Chattanooga,Tennessee,37402,(207) 575-5452,United States,10/15/2020,,,,,
Alex,Cold Account,Acceptance Insurance,00137000009wwOB,https://www.acceptanceinsurance.com/,,,1400000000,,1300,Secondary,3813 Green Hills Village Drive,Nashville,Tennessee,37215,(892) 952-7536,United States,6/13/2019,,Life & Health/P&C,,Insurance_test01_3_11_2020,
Alex,Cold Account,Avantax Wealth Management,00137000009qSwl,https://www.avantaxwealthmanagement.com/,,,,0,,Secondary,"3200 Olympus Blvd., Suite 100",Dallas,Texas,75019,,United States,3/18/2019,,,,USA non-insurance or no prospects,Financial Services
Stan,Cold Account,Arthur J. Gallagher & Co.,0013700000MvJRW,www.ajg.com,,,,0,,Other,,,,,,United States,04.12.2019,,,,,
Alex,Cold Account,"Genworth Financial, Inc.",001370000098ki0,www.genworth.com,757656000,,9600000000,0,,Primary,6620 West Broad Street,Richmond,Virginia,23230,(804) 281-6000,United States,12/19/2017,https://finance.yahoo.com/quote/GNW/,,,,
Alex,Cold Account,Kanopy Insurance,0013700000BCtcb,www.kanopy.com,,,,0,,Secondary,,,,,9099155945,United States,4/28/2016,,,,,
Alex,Cold Account,Markel Corporation,0013700000Iarss,markelcorp.com,2887186000,,1000000000,0,,Primary,4521 Highwoods Parkway,Glen Allen,Virginia,23060,1 (804) 747-0136,United States,6/17/2019,https://finance.yahoo.com/quote/MKL/,,,,
Alex,Cold Account,Security National Life,0013700000M1B3e,www.securitynational.com,,,,0,,Secondary,,,,,,United States,3/27/2017,,,,,
Alex,Cold Account,Pacific Life,0013700000AyTHW,www.pacificlife.com,,,8600000000,0,,Secondary,700 Newport Center Drive,Newport Beach,California,92660,(949) 219-3011,United States,9/24/2020,,,,,
Alex,Cold Account,PEMCO,0013700000CNChn,http://pemco.com,,,30000000,0,,Secondary,325 Eastlake Avenue East,Seattle,Washington,98109,1 (206) 628-4000,United States,2/20/2017,,,,,
Alex,Cold Account,Security Mutual Life,0013700000ATCEi,http://www.smlny.com/,,,250000000,0,,Secondary,100 Court Street,Binghamton,New York,13902,1 (607) 723-3551,United States,3/29/2017,,,,,
Gary,Cold Account,Affinity Health Plan,00137000007D5jl,(718) 794-6075,,,,0,,Secondary,,,,,,United States,5/24/2017,,,,,
Alex,Cold Account,Sentry Insurance Group,0013700000ATKXl,http://www.sentry.com/,2108084000,,,0,,Primary,1800 North Point Drive,Stevens Point,Wisconsin,54481,(715) 346-6000,United States,07.05.2019,https://www.bloomberg.com/profile/company/526842Z:US,,,,
Alex,Cold Account,Western & Southern Financial Group,0013700000Ia4P2,http://www.westernsouthern.com/,,,1000000000,0,,Secondary,400 East Fourth St.,Cincinnati,Ohio,45202,(513) 629-1902,United States,3/20/2020,,,,,
Alex,Cold Account,Western & Southern Life,0013700000AUO6I,http://www.westernsouthernlife.com/,,,,0,,Secondary,400 Broadway,Cincinnati,Ohio,45202,(513) 629-1800,United States,3/16/2020,,,,,
Alex,Cold Account,Zurich North America,0013700000Cdh2T,www.zurichna.com,4630422000,,10000000000,0,,Primary,1400 American Lane,Schaumburg,Illinois,60196,(847) 605-6000,United States,3/16/2020,https://www.bloomberg.com/profile/company/0419180D:US,,,,
Bryan,Cold Account,Geico,0013700000ARuQi,www.geico.com,,,1000000000,0,,Secondary,5260 Western Ave.,Chevy Chase,Maryland,20815,(301) 986-3000,United States,8/27/2020,,,,,
Bryan,Cold Account,"Selective Insurance Group, Inc.",0013700000CNHhx,,2370641000,,,0,,Primary,,Branchville,New Jersey,,,United States,6/17/2019,https://finance.yahoo.com/quote/SIGI/,,,,
Javier,Cold Account,Fake Test Company,0013700000SsNFn,www.google.com,,,,0,,Secondary,,,,,,United States,,,,,,
Elisa,Cold Account,Accident Fund Group,0011S00000k5CZm,http://www.accidentfund.com/,1334689000,,1400000000,0,"1,500",Primary,200 N Grand Avenue,Lansing,Michigan,48933,(866) 206-5851,United States,10/19/2020,https://www.bloomberg.com/profile/company/632903Z:US,Life & Health,,Insurance_test01_3_11_2020,
Elisa,Cold Account,American Reliable Insurance Company,0011S000013Bcnl,https://americanreliable.com/,,,,0,,Secondary,9300 Underwood Ave Suite 400 ,Omaha ,Nebraska ,68114,800-365-0398,United States,08.07.2020,,,,No prospects,
Elisa,Cold Account,Cincinnati Insurance,0013700000ATCEb,http://www.cinfin.com/,4843959000,,,0,,Primary,5535 Fair Lane Suite A,Fairfield,Ohio,45227,(513) 870-2000,United States,08.07.2020,https://finance.yahoo.com/quote/CINF/,,,Insurance_test01_3_11_2020,
Elisa,Cold Account,"EMC Insurance Group, Inc.",0011S00000e4S1y,https://www.emcins.com/,1775017000,,,0,,Primary,,Des Moines,Iowa,,,United States,10/19/2020,https://www.bloomberg.com/quote/EMCI:US,,,Insurance_test01_3_11_2020,
Elisa,Cold Account,Gemcor Inc.,0011S000013BcoG,https://gemcor.net/,,,,0,,Secondary,1000 5th Street,Miami Beach,Florida,33139,(800) 262-6776,United States,08.10.2020,,,,,
Elisa,Cold Account,LV=,0013700000PzQ8R,https://www.lv.com/,,,,0,,Tertiary,County Gates,Bournemouth,,BH1 2NF,,United Kingdom,8/18/2020,,,,Non-USA ,
Elisa,Cold Account,OUTsurance Insurance Company Limited,0011S000013BcpI,https://www.outsurance.co.za/,,,,0,,Tertiary,1241 Embankment Rd Zwartkop Ext 7,Centurion,,157,#ERROR!,South Africa,08.10.2020,,,,Non-USA ,
Elisa,Cold Account,VidaCaixa S.A.U.,0013700000MvMVS,http://vidacaixa.es/,,,,0,,Secondary,"Juan Gris, 2-8",Barcelona,,8014,,United States,08.05.2020,,,,,
Gary,Cold Account,21st Century Insurance,0013700000ATCEJ,http://www.21st.com/,,,,0,,Secondary,3 Beaver Valley Road,Wilmington,Delaware,19803,,United States,,,Property and Casualty (P & C),Property,Verified,
Javier,Cold Account,Liberty Mutual Spain,0013700000IcINm,http://www.libertyseguros.es/,,,,0,,Secondary,,,,,,Spain,09.01.2020,,,,Non-USA ,
Javier,Cold Account,Vantis Life,0013700000agFsi,www.vantislife.com,,,,0,,Secondary,,,,,,United States,,,,,,
Gary,Cold Account,Ameriprise P&C Companies,00137000009qSx4,www.ameriprise.com,957356000,,11700000000,0,,Primary,1098 Ameriprise Financial Center,Minneapolis,Minnesota,55474,(612) 671-3131,United States,3/20/2020,https://finance.yahoo.com/quote/AMP/,,,USA non-insurance or no prospects,Advisory
Gary,Cold Account,Assurity Life Insurance,0013700000ATCEp,http://www.assurity.com/,,,,0,,Secondary,1526 K St.,Lincoln,Nebraska,68508,,United States,3/16/2018,,,,,
Gary,Cold Account,Athene,0013700000AUO6P,http://www.athene.com,,,,0,,Secondary,7700 Mills Civic Parkway,West Des Moines,Iowa,50266,,United States,8/19/2020,,,,,
Gary,Cold Account,Auto-Owners Insurance,0013700000ATCEG,http://www.auto-owners.com/,6862973000,,,0,,Primary,6101 Anacapri Blvd.,Delta Township,Michigan,48917,,United States,04.04.2018,https://www.bloomberg.com/profile/company/10690Z:US,,,,
Gary,Cold Account,Bankers Life,0013700000ATCE9,www.bankerslife.com,,,600000000,0,,Secondary,"111 East Wacker Drive, Suite 2100",Chicago,Illinois,60601,(800) 231-9150,United States,3/18/2019,,,,,
